Year,District.Code,District.Name,Neighborhood.Code,Neighborhood.Name,Gender,Age,Total
2019,1,Ciutat Vella,1,el Raval,Female,0-4,965
2019,1,Ciutat Vella,2,el Barri Gòtic,Female,0-4,247
2019,1,Ciutat Vella,3,la Barceloneta,Female,0-4,216
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,0-4,335
2019,2,Eixample,5,el Fort Pienc,Female,0-4,591
2019,2,Eixample,6,la Sagrada Família,Female,0-4,959
2019,2,Eixample,7,la Dreta de l'Eixample,Female,0-4,809
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,0-4,768
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,0-4,1070
2019,2,Eixample,10,Sant Antoni,Female,0-4,695
2019,3,Sants-Montjuïc,11,el Poble Sec,Female,0-4,757
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Female,0-4,34
2019,3,Sants-Montjuïc,13,la Marina de Port,Female,0-4,585
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,0-4,146
2019,3,Sants-Montjuïc,15,Hostafrancs,Female,0-4,302
2019,3,Sants-Montjuïc,16,la Bordeta,Female,0-4,377
2019,3,Sants-Montjuïc,17,Sants - Badal,Female,0-4,448
2019,3,Sants-Montjuïc,18,Sants,Female,0-4,824
2019,4,Les Corts,19,les Corts,Female,0-4,921
2019,4,Les Corts,20,la Maternitat i Sant Ramon,Female,0-4,489
2019,4,Les Corts,21,Pedralbes,Female,0-4,215
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,0-4,107
2019,5,Sarrià-Sant Gervasi,23,Sarrià,Female,0-4,632
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,0-4,390
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,0-4,543
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Female,0-4,1070
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Female,0-4,656
2019,6,Gràcia,28,Vallcarca i els Penitents,Female,0-4,323
2019,6,Gràcia,29,el Coll,Female,0-4,135
2019,6,Gràcia,30,la Salut,Female,0-4,255
2019,6,Gràcia,31,la Vila de Gràcia,Female,0-4,1051
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,0-4,702
2019,7,Horta-Guinardó,33,el Baix Guinardó,Female,0-4,453
2019,7,Horta-Guinardó,34,Can Baró,Female,0-4,184
2019,7,Horta-Guinardó,35,el Guinardó,Female,0-4,766
2019,7,Horta-Guinardó,36,la Font d'en Fargues,Female,0-4,175
2019,7,Horta-Guinardó,37,el Carmel,Female,0-4,642
2019,7,Horta-Guinardó,38,la Teixonera,Female,0-4,210
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,0-4,139
2019,7,Horta-Guinardó,40,Montbau,Female,0-4,73
2019,7,Horta-Guinardó,41,la Vall d'Hebron,Female,0-4,119
2019,7,Horta-Guinardó,42,la Clota,Female,0-4,23
2019,7,Horta-Guinardó,43,Horta,Female,0-4,530
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,0-4,481
2019,8,Nou Barris,45,Porta,Female,0-4,546
2019,8,Nou Barris,46,el Turó de la Peira,Female,0-4,340
2019,8,Nou Barris,47,Can Peguera,Female,0-4,46
2019,8,Nou Barris,48,la Guineueta,Female,0-4,259
2019,8,Nou Barris,49,Canyelles,Female,0-4,93
2019,8,Nou Barris,50,les Roquetes,Female,0-4,417
2019,8,Nou Barris,51,Verdun,Female,0-4,270
2019,8,Nou Barris,52,la Prosperitat,Female,0-4,518
2019,8,Nou Barris,53,la Trinitat Nova,Female,0-4,154
2019,8,Nou Barris,54,Torre Baró,Female,0-4,62
2019,8,Nou Barris,55,Ciutat Meridiana,Female,0-4,292
2019,8,Nou Barris,56,Vallbona,Female,0-4,35
2019,9,Sant Andreu,57,la Trinitat Vella,Female,0-4,271
2019,9,Sant Andreu,58,Baró de Viver,Female,0-4,67
2019,9,Sant Andreu,59,el Bon Pastor,Female,0-4,315
2019,9,Sant Andreu,60,Sant Andreu,Female,0-4,1146
2019,9,Sant Andreu,61,la Sagrera,Female,0-4,524
2019,9,Sant Andreu,62,el Congrés i els Indians,Female,0-4,274
2019,9,Sant Andreu,63,Navas,Female,0-4,387
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,Female,0-4,737
2019,10,Sant Martí,65,el Clot,Female,0-4,480
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,0-4,363
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,Female,0-4,206
2019,10,Sant Martí,68,el Poblenou,Female,0-4,764
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,0-4,377
2019,10,Sant Martí,70,el Besòs i el Maresme,Female,0-4,584
2019,10,Sant Martí,71,Provençals del Poblenou,Female,0-4,478
2019,10,Sant Martí,72,Sant Martí de Provençals,Female,0-4,453
2019,10,Sant Martí,73,la Verneda i la Pau,Female,0-4,516
2019,1,Ciutat Vella,1,el Raval,Female,5-9,1005
2019,1,Ciutat Vella,2,el Barri Gòtic,Female,5-9,225
2019,1,Ciutat Vella,3,la Barceloneta,Female,5-9,172
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,5-9,345
2019,2,Eixample,5,el Fort Pienc,Female,5-9,597
2019,2,Eixample,6,la Sagrada Família,Female,5-9,792
2019,2,Eixample,7,la Dreta de l'Eixample,Female,5-9,832
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,5-9,703
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,5-9,946
2019,2,Eixample,10,Sant Antoni,Female,5-9,581
2019,3,Sants-Montjuïc,11,el Poble Sec,Female,5-9,710
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Female,5-9,19
2019,3,Sants-Montjuïc,13,la Marina de Port,Female,5-9,656
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,5-9,160
2019,3,Sants-Montjuïc,15,Hostafrancs,Female,5-9,276
2019,3,Sants-Montjuïc,16,la Bordeta,Female,5-9,363
2019,3,Sants-Montjuïc,17,Sants - Badal,Female,5-9,440
2019,3,Sants-Montjuïc,18,Sants,Female,5-9,774
2019,4,Les Corts,19,les Corts,Female,5-9,914
2019,4,Les Corts,20,la Maternitat i Sant Ramon,Female,5-9,458
2019,4,Les Corts,21,Pedralbes,Female,5-9,326
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,5-9,144
2019,5,Sarrià-Sant Gervasi,23,Sarrià,Female,5-9,735
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,5-9,468
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,5-9,691
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Female,5-9,1095
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Female,5-9,696
2019,6,Gràcia,28,Vallcarca i els Penitents,Female,5-9,368
2019,6,Gràcia,29,el Coll,Female,5-9,170
2019,6,Gràcia,30,la Salut,Female,5-9,274
2019,6,Gràcia,31,la Vila de Gràcia,Female,5-9,908
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,5-9,603
2019,7,Horta-Guinardó,33,el Baix Guinardó,Female,5-9,437
2019,7,Horta-Guinardó,34,Can Baró,Female,5-9,193
2019,7,Horta-Guinardó,35,el Guinardó,Female,5-9,775
2019,7,Horta-Guinardó,36,la Font d'en Fargues,Female,5-9,217
2019,7,Horta-Guinardó,37,el Carmel,Female,5-9,674
2019,7,Horta-Guinardó,38,la Teixonera,Female,5-9,246
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,5-9,145
2019,7,Horta-Guinardó,40,Montbau,Female,5-9,94
2019,7,Horta-Guinardó,41,la Vall d'Hebron,Female,5-9,109
2019,7,Horta-Guinardó,42,la Clota,Female,5-9,13
2019,7,Horta-Guinardó,43,Horta,Female,5-9,538
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,5-9,481
2019,8,Nou Barris,45,Porta,Female,5-9,566
2019,8,Nou Barris,46,el Turó de la Peira,Female,5-9,352
2019,8,Nou Barris,47,Can Peguera,Female,5-9,59
2019,8,Nou Barris,48,la Guineueta,Female,5-9,339
2019,8,Nou Barris,49,Canyelles,Female,5-9,136
2019,8,Nou Barris,50,les Roquetes,Female,5-9,413
2019,8,Nou Barris,51,Verdun,Female,5-9,280
2019,8,Nou Barris,52,la Prosperitat,Female,5-9,557
2019,8,Nou Barris,53,la Trinitat Nova,Female,5-9,178
2019,8,Nou Barris,54,Torre Baró,Female,5-9,86
2019,8,Nou Barris,55,Ciutat Meridiana,Female,5-9,307
2019,8,Nou Barris,56,Vallbona,Female,5-9,46
2019,9,Sant Andreu,57,la Trinitat Vella,Female,5-9,306
2019,9,Sant Andreu,58,Baró de Viver,Female,5-9,76
2019,9,Sant Andreu,59,el Bon Pastor,Female,5-9,399
2019,9,Sant Andreu,60,Sant Andreu,Female,5-9,1308
2019,9,Sant Andreu,61,la Sagrera,Female,5-9,601
2019,9,Sant Andreu,62,el Congrés i els Indians,Female,5-9,317
2019,9,Sant Andreu,63,Navas,Female,5-9,410
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,Female,5-9,674
2019,10,Sant Martí,65,el Clot,Female,5-9,549
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,5-9,326
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,Female,5-9,223
2019,10,Sant Martí,68,el Poblenou,Female,5-9,895
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,5-9,415
2019,10,Sant Martí,70,el Besòs i el Maresme,Female,5-9,585
2019,10,Sant Martí,71,Provençals del Poblenou,Female,5-9,513
2019,10,Sant Martí,72,Sant Martí de Provençals,Female,5-9,515
2019,10,Sant Martí,73,la Verneda i la Pau,Female,5-9,540
2019,1,Ciutat Vella,1,el Raval,Female,10-14,877
2019,1,Ciutat Vella,2,el Barri Gòtic,Female,10-14,221
2019,1,Ciutat Vella,3,la Barceloneta,Female,10-14,177
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,10-14,326
2019,2,Eixample,5,el Fort Pienc,Female,10-14,577
2019,2,Eixample,6,la Sagrada Família,Female,10-14,857
2019,2,Eixample,7,la Dreta de l'Eixample,Female,10-14,849
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,10-14,759
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,10-14,952
2019,2,Eixample,10,Sant Antoni,Female,10-14,610
2019,3,Sants-Montjuïc,11,el Poble Sec,Female,10-14,733
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Female,10-14,20
2019,3,Sants-Montjuïc,13,la Marina de Port,Female,10-14,775
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,10-14,173
2019,3,Sants-Montjuïc,15,Hostafrancs,Female,10-14,279
2019,3,Sants-Montjuïc,16,la Bordeta,Female,10-14,395
2019,3,Sants-Montjuïc,17,Sants - Badal,Female,10-14,409
2019,3,Sants-Montjuïc,18,Sants,Female,10-14,741
2019,4,Les Corts,19,les Corts,Female,10-14,887
2019,4,Les Corts,20,la Maternitat i Sant Ramon,Female,10-14,443
2019,4,Les Corts,21,Pedralbes,Female,10-14,382
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,10-14,136
2019,5,Sarrià-Sant Gervasi,23,Sarrià,Female,10-14,770
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,10-14,494
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,10-14,788
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Female,10-14,1244
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Female,10-14,678
2019,6,Gràcia,28,Vallcarca i els Penitents,Female,10-14,389
2019,6,Gràcia,29,el Coll,Female,10-14,148
2019,6,Gràcia,30,la Salut,Female,10-14,294
2019,6,Gràcia,31,la Vila de Gràcia,Female,10-14,854
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,10-14,659
2019,7,Horta-Guinardó,33,el Baix Guinardó,Female,10-14,438
2019,7,Horta-Guinardó,34,Can Baró,Female,10-14,196
2019,7,Horta-Guinardó,35,el Guinardó,Female,10-14,713
2019,7,Horta-Guinardó,36,la Font d'en Fargues,Female,10-14,260
2019,7,Horta-Guinardó,37,el Carmel,Female,10-14,728
2019,7,Horta-Guinardó,38,la Teixonera,Female,10-14,248
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,10-14,151
2019,7,Horta-Guinardó,40,Montbau,Female,10-14,111
2019,7,Horta-Guinardó,41,la Vall d'Hebron,Female,10-14,114
2019,7,Horta-Guinardó,42,la Clota,Female,10-14,11
2019,7,Horta-Guinardó,43,Horta,Female,10-14,584
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,10-14,551
2019,8,Nou Barris,45,Porta,Female,10-14,543
2019,8,Nou Barris,46,el Turó de la Peira,Female,10-14,358
2019,8,Nou Barris,47,Can Peguera,Female,10-14,47
2019,8,Nou Barris,48,la Guineueta,Female,10-14,349
2019,8,Nou Barris,49,Canyelles,Female,10-14,140
2019,8,Nou Barris,50,les Roquetes,Female,10-14,395
2019,8,Nou Barris,51,Verdun,Female,10-14,244
2019,8,Nou Barris,52,la Prosperitat,Female,10-14,567
2019,8,Nou Barris,53,la Trinitat Nova,Female,10-14,186
2019,8,Nou Barris,54,Torre Baró,Female,10-14,102
2019,8,Nou Barris,55,Ciutat Meridiana,Female,10-14,297
2019,8,Nou Barris,56,Vallbona,Female,10-14,45
2019,9,Sant Andreu,57,la Trinitat Vella,Female,10-14,270
2019,9,Sant Andreu,58,Baró de Viver,Female,10-14,74
2019,9,Sant Andreu,59,el Bon Pastor,Female,10-14,395
2019,9,Sant Andreu,60,Sant Andreu,Female,10-14,1299
2019,9,Sant Andreu,61,la Sagrera,Female,10-14,535
2019,9,Sant Andreu,62,el Congrés i els Indians,Female,10-14,287
2019,9,Sant Andreu,63,Navas,Female,10-14,416
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,Female,10-14,678
2019,10,Sant Martí,65,el Clot,Female,10-14,613
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,10-14,259
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,Female,10-14,234
2019,10,Sant Martí,68,el Poblenou,Female,10-14,897
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,10-14,416
2019,10,Sant Martí,70,el Besòs i el Maresme,Female,10-14,572
2019,10,Sant Martí,71,Provençals del Poblenou,Female,10-14,492
2019,10,Sant Martí,72,Sant Martí de Provençals,Female,10-14,554
2019,10,Sant Martí,73,la Verneda i la Pau,Female,10-14,611
2019,1,Ciutat Vella,1,el Raval,Female,15-19,858
