Year,Month,District Code,District Name,Neighborhood Code,Neighborhood Name,Gender,Demand_occupation,Number
2021,January,1,Ciutat Vella,1,el Raval,Female,Registered unemployed,2139
2021,January,1,Ciutat Vella,2,el Barri Gòtic,Female,Registered unemployed,673
2021,January,1,Ciutat Vella,3,la Barceloneta,Female,Registered unemployed,722
2021,January,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,Registered unemployed,995
2021,January,2,Eixample,5,el Fort Pienc,Female,Registered unemployed,896
2021,January,2,Eixample,6,la Sagrada Família,Female,Registered unemployed,1417
2021,January,2,Eixample,7,la Dreta de l'Eixample,Female,Registered unemployed,1003
2021,January,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,Registered unemployed,1032
2021,January,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,Registered unemployed,1530
2021,January,2,Eixample,10,Sant Antoni,Female,Registered unemployed,1139
2021,January,3,Sants-Montjuïc,11,el Poble Sec,Female,Registered unemployed,1504
2021,January,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Female,Registered unemployed,62
2021,January,3,Sants-Montjuïc,13,la Marina de Port,Female,Registered unemployed,1257
2021,January,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,Registered unemployed,382
2021,January,3,Sants-Montjuïc,15,Hostafrancs,Female,Registered unemployed,490
2021,January,3,Sants-Montjuïc,16,la Bordeta,Female,Registered unemployed,575
2021,January,3,Sants-Montjuïc,17,Sants - Badal,Female,Registered unemployed,633
2021,January,3,Sants-Montjuïc,18,Sants,Female,Registered unemployed,1185
2021,January,4,Les Corts,19,les Corts,Female,Registered unemployed,1198
2021,January,4,Les Corts,20,la Maternitat i Sant Ramon,Female,Registered unemployed,626
2021,January,4,Les Corts,21,Pedralbes,Female,Registered unemployed,154
2021,January,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,Registered unemployed,66
2021,January,5,Sarrià-Sant Gervasi,23,Sarrià,Female,Registered unemployed,336
2021,January,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,Registered unemployed,253
2021,January,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,Registered unemployed,381
2021,January,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Female,Registered unemployed,788
2021,January,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Female,Registered unemployed,687
2021,January,6,Gràcia,28,Vallcarca i els Penitents,Female,Registered unemployed,452
2021,January,6,Gràcia,29,el Coll,Female,Registered unemployed,191
2021,January,6,Gràcia,30,la Salut,Female,Registered unemployed,359
2021,January,6,Gràcia,31,la Vila de Gràcia,Female,Registered unemployed,1414
2021,January,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,Registered unemployed,895
2021,January,7,Horta-Guinardó,33,el Baix Guinardó,Female,Registered unemployed,694
2021,January,7,Horta-Guinardó,34,Can Baró,Female,Registered unemployed,256
2021,January,7,Horta-Guinardó,35,el Guinardó,Female,Registered unemployed,1109
2021,January,7,Horta-Guinardó,36,la Font d'en Fargues,Female,Registered unemployed,339
2021,January,7,Horta-Guinardó,37,el Carmel,Female,Registered unemployed,1155
2021,January,7,Horta-Guinardó,38,la Teixonera,Female,Registered unemployed,357
2021,January,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,Registered unemployed,217
2021,January,7,Horta-Guinardó,40,Montbau,Female,Registered unemployed,157
2021,January,7,Horta-Guinardó,41,la Vall d'Hebron,Female,Registered unemployed,167
2021,January,7,Horta-Guinardó,42,la Clota,Female,Registered unemployed,12
2021,January,7,Horta-Guinardó,43,Horta,Female,Registered unemployed,995
2021,January,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,Registered unemployed,935
2021,January,8,Nou Barris,45,Porta,Female,Registered unemployed,903
2021,January,8,Nou Barris,46,el Turó de la Peira,Female,Registered unemployed,587
2021,January,8,Nou Barris,47,Can Peguera,Female,Registered unemployed,81
2021,January,8,Nou Barris,48,la Guineueta,Female,Registered unemployed,635
2021,January,8,Nou Barris,49,Canyelles,Female,Registered unemployed,310
2021,January,8,Nou Barris,50,les Roquetes,Female,Registered unemployed,672
2021,January,8,Nou Barris,51,Verdun,Female,Registered unemployed,515
2021,January,8,Nou Barris,52,la Prosperitat,Female,Registered unemployed,1014
2021,January,8,Nou Barris,53,la Trinitat Nova,Female,Registered unemployed,451
2021,January,8,Nou Barris,54,Torre Baró,Female,Registered unemployed,125
2021,January,8,Nou Barris,55,Ciutat Meridiana,Female,Registered unemployed,652
2021,January,8,Nou Barris,56,Vallbona,Female,Registered unemployed,76
2021,January,9,Sant Andreu,57,la Trinitat Vella,Female,Registered unemployed,604
2021,January,9,Sant Andreu,58,Baró de Viver,Female,Registered unemployed,82
2021,January,9,Sant Andreu,59,el Bon Pastor,Female,Registered unemployed,465
2021,January,9,Sant Andreu,60,Sant Andreu,Female,Registered unemployed,1883
2021,January,9,Sant Andreu,61,la Sagrera,Female,Registered unemployed,882
2021,January,9,Sant Andreu,62,el Congrés i els Indians,Female,Registered unemployed,430
2021,January,9,Sant Andreu,63,Navas,Female,Registered unemployed,661
2021,January,10,Sant Martí,64,el Camp de l'Arpa del Clot,Female,Registered unemployed,1212
2021,January,10,Sant Martí,65,el Clot,Female,Registered unemployed,847
2021,January,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,Registered unemployed,419
2021,January,10,Sant Martí,67,la Vila Olímpica del Poblenou,Female,Registered unemployed,279
2021,January,10,Sant Martí,68,el Poblenou,Female,Registered unemployed,958
2021,January,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,Registered unemployed,445
2021,January,10,Sant Martí,70,el Besòs i el Maresme,Female,Registered unemployed,1017
2021,January,10,Sant Martí,71,Provençals del Poblenou,Female,Registered unemployed,670
2021,January,10,Sant Martí,72,Sant Martí de Provençals,Female,Registered unemployed,916
2021,January,10,Sant Martí,73,la Verneda i la Pau,Female,Registered unemployed,1035
2021,January,99,No consta,99,No consta,Female,Registered unemployed,70
2021,January,1,Ciutat Vella,1,el Raval,Female,Unemployment demand,3272
2021,January,1,Ciutat Vella,2,el Barri Gòtic,Female,Unemployment demand,768
2021,January,1,Ciutat Vella,3,la Barceloneta,Female,Unemployment demand,848
2021,January,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,Unemployment demand,1189
2021,January,2,Eixample,5,el Fort Pienc,Female,Unemployment demand,1401
2021,January,2,Eixample,6,la Sagrada Família,Female,Unemployment demand,2335
2021,January,2,Eixample,7,la Dreta de l'Eixample,Female,Unemployment demand,1555
2021,January,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,Unemployment demand,1679
2021,January,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,Unemployment demand,2499
2021,January,2,Eixample,10,Sant Antoni,Female,Unemployment demand,1769
2021,January,3,Sants-Montjuïc,11,el Poble Sec,Female,Unemployment demand,2070
2021,January,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Female,Unemployment demand,84
2021,January,3,Sants-Montjuïc,13,la Marina de Port,Female,Unemployment demand,1608
2021,January,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,Unemployment demand,523
2021,January,3,Sants-Montjuïc,15,Hostafrancs,Female,Unemployment demand,802
2021,January,3,Sants-Montjuïc,16,la Bordeta,Female,Unemployment demand,941
2021,January,3,Sants-Montjuïc,17,Sants - Badal,Female,Unemployment demand,1018
2021,January,3,Sants-Montjuïc,18,Sants,Female,Unemployment demand,1934
2021,January,4,Les Corts,19,les Corts,Female,Unemployment demand,1998
2021,January,4,Les Corts,20,la Maternitat i Sant Ramon,Female,Unemployment demand,1006
2021,January,4,Les Corts,21,Pedralbes,Female,Unemployment demand,250
2021,January,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,Unemployment demand,98
2021,January,5,Sarrià-Sant Gervasi,23,Sarrià,Female,Unemployment demand,531
2021,January,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,Unemployment demand,383
2021,January,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,Unemployment demand,732
2021,January,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Female,Unemployment demand,1386
2021,January,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Female,Unemployment demand,1176
2021,January,6,Gràcia,28,Vallcarca i els Penitents,Female,Unemployment demand,714
2021,January,6,Gràcia,29,el Coll,Female,Unemployment demand,307
2021,January,6,Gràcia,30,la Salut,Female,Unemployment demand,601
2021,January,6,Gràcia,31,la Vila de Gràcia,Female,Unemployment demand,2361
2021,January,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,Unemployment demand,1541
2021,January,7,Horta-Guinardó,33,el Baix Guinardó,Female,Unemployment demand,1184
2021,January,7,Horta-Guinardó,34,Can Baró,Female,Unemployment demand,429
2021,January,7,Horta-Guinardó,35,el Guinardó,Female,Unemployment demand,1706
2021,January,7,Horta-Guinardó,36,la Font d'en Fargues,Female,Unemployment demand,480
2021,January,7,Horta-Guinardó,37,el Carmel,Female,Unemployment demand,1642
2021,January,7,Horta-Guinardó,38,la Teixonera,Female,Unemployment demand,504
2021,January,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,Unemployment demand,306
2021,January,7,Horta-Guinardó,40,Montbau,Female,Unemployment demand,221
2021,January,7,Horta-Guinardó,41,la Vall d'Hebron,Female,Unemployment demand,236
2021,January,7,Horta-Guinardó,42,la Clota,Female,Unemployment demand,16
2021,January,7,Horta-Guinardó,43,Horta,Female,Unemployment demand,1365
2021,January,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,Unemployment demand,1290
2021,January,8,Nou Barris,45,Porta,Female,Unemployment demand,1258
2021,January,8,Nou Barris,46,el Turó de la Peira,Female,Unemployment demand,795
2021,January,8,Nou Barris,47,Can Peguera,Female,Unemployment demand,107
2021,January,8,Nou Barris,48,la Guineueta,Female,Unemployment demand,794
2021,January,8,Nou Barris,49,Canyelles,Female,Unemployment demand,387
2021,January,8,Nou Barris,50,les Roquetes,Female,Unemployment demand,840
2021,January,8,Nou Barris,51,Verdun,Female,Unemployment demand,644
2021,January,8,Nou Barris,52,la Prosperitat,Female,Unemployment demand,1413
2021,January,8,Nou Barris,53,la Trinitat Nova,Female,Unemployment demand,428
2021,January,8,Nou Barris,54,Torre Baró,Female,Unemployment demand,115
